"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2020","1.0017","1.0014","1.0029","1.0013","22.56M","0.03%"
"Feb 01, 2020","1.0011","1.0017","1.0019","1.0005","22.37M","-0.05%"
"Feb 02, 2020","1.0015","1.0011","1.0021","1.0001","21.56M","0.04%"
"Feb 03, 2020","1.0017","1.0015","1.0030","0.9997","24.03M","0.02%"
"Feb 04, 2020","1.0034","1.0017","1.0038","1.0017","27.98M","0.17%"
"Feb 05, 2020","1.0003","1.0034","1.0036","0.9987","36.73M","-0.31%"
"Feb 06, 2020","1.0021","1.0003","1.0024","0.9997","33.94M","0.19%"
"Feb 07, 2020","1.0014","1.0022","1.0027","1.0011","22.26M","-0.08%"
"Feb 08, 2020","0.9994","1.0014","1.0020","0.9989","15.35M","-0.20%"
"Feb 09, 2020","0.9992","0.9994","1.0008","0.9981","25.77M","-0.02%"
"Feb 10, 2020","1.0003","0.9992","1.0013","0.9985","29.85M","0.11%"
"Feb 11, 2020","0.9958","1.0003","1.0009","0.9953","31.22M","-0.45%"
"Feb 12, 2020","0.9978","0.9958","0.9998","0.9952","24.18M","0.20%"
"Feb 13, 2020","1.0002","0.9978","1.0018","0.9971","25.32M","0.24%"
"Feb 14, 2020","0.9980","1.0002","1.0018","0.9980","31.83M","-0.22%"
"Feb 15, 2020","0.9999","0.9980","1.0020","0.9976","26.82M","0.19%"
"Feb 16, 2020","0.9997","0.9999","1.0007","0.9983","23.44M","-0.02%"
"Feb 17, 2020","0.9994","0.9997","1.0005","0.9970","21.34M","-0.03%"
"Feb 18, 2020","0.9976","0.9994","0.9999","0.9969","32.28M","-0.18%"
"Feb 19, 2020","0.9996","0.9976","1.0108","0.9969","29.22M","0.20%"
"Feb 20, 2020","0.9994","0.9996","1.0013","0.9992","38.36M","-0.02%"
"Feb 21, 2020","0.9985","0.9994","0.9998","0.9984","29.70M","-0.09%"
"Feb 22, 2020","0.9985","0.9985","0.9999","0.9979","15.64M","0.00%"
"Feb 23, 2020","0.9972","0.9985","0.9986","0.9967","21.90M","-0.13%"
"Feb 24, 2020","1.0003","0.9972","1.0012","0.9968","23.69M","0.31%"
"Feb 25, 2020","1.0010","1.0003","1.0015","0.9994","26.43M","0.07%"
"Feb 26, 2020","1.0007","1.0010","1.0025","1.0003","36.22M","-0.02%"
"Feb 27, 2020","1.0005","1.0007","1.0013","0.9993","25.69M","-0.02%"
"Feb 28, 2020","0.9983","1.0006","1.0016","0.9981","20.76M","-0.21%"
"Feb 29, 2020","1.0000","0.9983","1.0003","0.9981","19.60M","0.16%"
"Mar 01, 2020","1.0010","1.0000","1.0017","0.9994","22.43M","0.10%"
"Mar 02, 2020","0.9993","1.0009","1.0015","0.9990","23.74M","-0.16%"
"Mar 03, 2020","1.0001","0.9993","1.0004","0.9984","26.67M","0.08%"
"Mar 04, 2020","0.9994","1.0001","1.0005","0.9989","25.29M","-0.07%"
"Mar 05, 2020","0.9982","0.9994","1.0008","0.9980","31.62M","-0.13%"
"Mar 06, 2020","0.9977","0.9982","0.9992","0.9974","28.85M","-0.05%"
"Mar 07, 2020","0.9990","0.9977","0.9990","0.9971","24.35M","0.13%"
"Mar 08, 2020","1.0003","0.9990","1.0004","0.9977","35.73M","0.13%"
"Mar 09, 2020","1.0004","1.0003","1.0009","0.9987","38.16M","0.01%"
"Mar 10, 2020","1.0000","1.0004","1.0007","0.9990","28.59M","-0.03%"
"Mar 11, 2020","0.9996","1.0000","1.0007","0.9986","26.32M","-0.04%"
"Mar 12, 2020","0.9973","0.9996","1.0155","0.9973","71.97M","-0.23%"
"Mar 13, 2020","0.9918","0.9973","1.0068","0.9871","60.90M","-0.55%"
"Mar 14, 2020","1.0018","0.9918","1.0022","0.9906","19.96M","1.01%"
"Mar 15, 2020","1.0027","1.0017","1.0031","0.9973","20.96M","0.09%"
"Mar 16, 2020","0.9986","1.0027","1.0048","0.9976","34.70M","-0.41%"
"Mar 17, 2020","0.9965","0.9986","0.9991","0.9938","39.98M","-0.21%"
"Mar 18, 2020","0.9964","0.9965","0.9984","0.9950","29.71M","-0.01%"
"Mar 19, 2020","0.9971","0.9964","0.9979","0.9935","52.22M","0.08%"
"Mar 20, 2020","0.9998","0.9971","1.0008","0.9955","48.15M","0.26%"
"Mar 21, 2020","0.9989","0.9998","1.0003","0.9977","31.39M","-0.09%"
"Mar 22, 2020","0.9995","0.9989","0.9996","0.9970","28.20M","0.06%"
"Mar 23, 2020","0.9960","0.9995","1.0000","0.9954","30.04M","-0.35%"
"Mar 24, 2020","0.9971","0.9960","0.9981","0.9952","32.05M","0.11%"
"Mar 25, 2020","0.9978","0.9971","0.9987","0.9963","24.23M","0.08%"
"Mar 26, 2020","0.9964","0.9978","0.9987","0.9964","22.19M","-0.14%"
"Mar 27, 2020","0.9992","0.9964","0.9995","0.9955","26.09M","0.28%"
"Mar 28, 2020","0.9981","0.9992","1.0000","0.9975","25.14M","-0.11%"
"Mar 29, 2020","1.0002","0.9981","1.0002","0.9976","22.63M","0.21%"
"Mar 30, 2020","0.9982","1.0002","1.0002","0.9964","34.89M","-0.21%"
"Mar 31, 2020","0.9977","0.9982","0.9993","0.9976","22.44M","-0.05%"
"Apr 01, 2020","0.9967","0.9977","1.0000","0.9964","24.61M","-0.10%"
"Apr 02, 2020","0.9995","0.9967","0.9995","0.9962","36.45M","0.28%"
"Apr 03, 2020","0.9987","0.9995","0.9999","0.9980","35.47M","-0.07%"
"Apr 04, 2020","0.9979","0.9987","0.9992","0.9976","34.13M","-0.08%"
"Apr 05, 2020","0.9988","0.9979","0.9998","0.9976","25.58M","0.09%"
"Apr 06, 2020","0.9986","0.9988","0.9995","0.9977","41.12M","-0.02%"
"Apr 07, 2020","0.9999","0.9986","1.0001","0.9979","30.33M","0.13%"
"Apr 08, 2020","0.9986","0.9999","1.0004","0.9982","15.88M","-0.13%"
"Apr 09, 2020","0.9989","0.9986","0.9996","0.9978","21.84M","0.03%"
"Apr 10, 2020","0.9987","0.9989","1.0000","0.9978","39.89M","-0.02%"
"Apr 11, 2020","0.9986","0.9987","0.9989","0.9977","26.52M","-0.01%"
"Apr 12, 2020","0.9986","0.9986","0.9989","0.9965","30.36M","0.00%"
"Apr 13, 2020","0.9977","0.9986","0.9996","0.9973","33.35M","-0.09%"
"Apr 14, 2020","0.9992","0.9977","0.9994","0.9972","24.85M","0.15%"
"Apr 15, 2020","0.9997","0.9992","1.0000","0.9978","28.36M","0.05%"
"Apr 16, 2020","0.9984","0.9997","1.0000","0.9977","38.40M","-0.13%"
"Apr 17, 2020","0.9989","0.9984","0.9994","0.9980","26.80M","0.05%"
"Apr 18, 2020","0.9986","0.9989","0.9994","0.9978","28.53M","-0.04%"
"Apr 19, 2020","0.9985","0.9986","0.9994","0.9978","26.39M","-0.01%"
"Apr 20, 2020","0.9987","0.9985","1.0001","0.9976","46.02M","0.03%"
"Apr 21, 2020","0.9985","0.9987","0.9991","0.9974","39.45M","-0.02%"
"Apr 22, 2020","0.9988","0.9985","0.9991","0.9980","36.83M","0.03%"
"Apr 23, 2020","0.9991","0.9988","0.9997","0.9978","39.93M","0.03%"
"Apr 24, 2020","0.9991","0.9991","1.0002","0.9985","38.65M","0.00%"
"Apr 25, 2020","0.9992","0.9991","0.9997","0.9980","25.61M","0.01%"
"Apr 26, 2020","0.9984","0.9992","0.9998","0.9976","24.70M","-0.08%"
"Apr 27, 2020","0.9981","0.9984","0.9997","0.9980","27.27M","-0.03%"
